antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"weaptype1_txt_Firearms, targtype1_txt_Private Citizens & Property",attacktype1_txt_Hostage Taking (Kidnapping),0.07882613888414947,0.06141195766438624,0.010495841841368037,0.133151794442117,2.1681737483404446,1.0,0.00565497433736762,1.0827593993017044,0.5848867116237513,0.08089763712722182,0.07643378515585067,0.15203027972688393
attacktype1_txt_Armed Assault,"weaptype1_txt_Firearms, targtype1_txt_Business",0.23484377321936695,0.022141988320830423,0.011255373133506889,0.04792706648855141,2.1645330940520493,1.0,0.006055465049663917,1.027083091284425,0.7031330110141755,0.04580374941205456,0.026368938904987923,0.27812709277696274
"weaptype1_txt_Firearms, targtype1_txt_Business",attacktype1_txt_Armed Assault,0.022141988320830423,0.23484377321936695,0.011255373133506889,0.5083271190653741,2.1645330940520493,1.0,0.006055465049663917,1.5562302832853827,0.5501888773285719,0.04580374941205456,0.3574215778085978,0.27812709277696274
region_txt_Western Europe,"attacktype1_txt_Bombing/Explosion, targtype1_txt_Business",0.09157855920216192,0.06615627631528254,0.013088155164537594,0.14291724262275377,2.1602975648394973,1.0,0.00702965869740391,1.0895607403681378,0.5912462901056419,0.09048361934477381,0.08219894224334598,0.17037709052934694
"attacktype1_txt_Bombing/Explosion, targtype1_txt_Business",region_txt_Western Europe,0.06615627631528254,0.09157855920216192,0.013088155164537594,0.1978369384359401,2.1602975648394973,1.0,0.00702965869740391,1.1324648121126335,0.5751506307767172,0.09048361934477381,0.11697035589610785,0.17037709052934694
"region_txt_South America, weaptype1_txt_Firearms",attacktype1_txt_Armed Assault,0.03591262087830437,0.23484377321936695,0.018195727911674217,0.5066666666666667,2.157462638761943,1.0,0.009761872518416603,1.5509923515823645,0.5564771041243886,0.07204497907949792,0.35525149496722347,0.29207340223581524
attacktype1_txt_Armed Assault,"region_txt_South America, weaptype1_txt_Firearms",0.23484377321936695,0.03591262087830437,0.018195727911674217,0.0774801378049638,2.1574626387619427,1.0,0.009761872518416603,1.0450586687941374,0.7011542663826779,0.07204497907949792,0.04311592271286481,0.29207340223581524
region_txt_Western Europe,"weaptype1_txt_Explosives, targtype1_txt_Business",0.09157855920216192,0.0661342609155104,0.012967070465790822,0.14159504777931367,2.14102412001259,1.0,0.006910590137248529,1.0879081448313954,0.5866592046291158,0.08958515532909997,0.08080474923277607,0.16883347595357162
"weaptype1_txt_Explosives, targtype1_txt_Business",region_txt_Western Europe,0.0661342609155104,0.09157855920216192,0.012967070465790822,0.19607190412782957,2.14102412001259,1.0,0.006910590137248529,1.1299784712864205,0.5706749670985403,0.08958515532909997,0.11502738732574876,0.16883347595357162
region_txt_Western Europe,"attacktype1_txt_Bombing/Explosion, weaptype1_txt_Explosives, targtype1_txt_Business",0.09157855920216192,0.06493992547787177,0.012636839469208712,0.13798906184265883,2.124872500657219,1.0,0.006689734659249449,1.084742702361688,0.5827510273185155,0.08782801621911102,0.0781223991433059,0.1662909119705709
"attacktype1_txt_Bombing/Explosion, weaptype1_txt_Explosives, targtype1_txt_Business",region_txt_Western Europe,0.06493992547787177,0.09157855920216192,0.012636839469208712,0.19459276209848295,2.1248725006572187,1.0,0.006689734659249449,1.1279032494973895,0.566149215742799,0.08782801621911102,0.11339913202163843,0.1662909119705709
"attacktype1_txt_Bombing/Explosion, weaptype1_txt_Explosives, region_txt_South America",targtype1_txt_Business,0.04813667160178545,0.11375907447259358,0.011596611829975068,0.24091013034530073,2.1177223132501832,1.0,0.006120628620364776,1.1675046143489527,0.5544856522020061,0.07715687710561009,0.14347233603214488,0.1714251169409991
targtype1_txt_Business,"attacktype1_txt_Bombing/Explosion, weaptype1_txt_Explosives, region_txt_South America",0.11375907447259358,0.04813667160178545,0.011596611829975068,0.10194010353669747,2.117722313250183,1.0,0.006120628620364776,1.0599107388569495,0.5955429762397433,0.07715687710561009,0.05652432479508572,0.1714251169409991
targtype1_txt_Unknown,"region_txt_Middle East & North Africa, weaptype1_txt_Explosives, attacktype1_txt_Bombing/Explosion",0.032461706964021335,0.1687645508032869,0.011558084880373822,0.3560528992878942,2.1097611885502654,1.0,0.006079699486282832,1.2908443073623523,0.5436608641169687,0.06093845216331505,0.22531323545645035,0.21226967437733912
"region_txt_Middle East & North Africa, weaptype1_txt_Explosives, attacktype1_txt_Bombing/Explosion",targtype1_txt_Unknown,0.1687645508032869,0.032461706964021335,0.011558084880373822,0.06848644946678407,2.1097611885502654,1.0,0.006079699486282832,1.0386733424136896,0.6328083155819735,0.06093845216331505,0.03723340229741494,0.21226967437733912
weaptype1_txt_Firearms,"attacktype1_txt_Assassination, targtype1_txt_Government (General)",0.3221073140661893,0.032924030359236287,0.02232361536895058,0.06930490055361903,2.1049944310410558,1.0,0.011718544381703305,1.0390899986644646,0.774369412232576,0.06709677419354837,0.037619454248146625,0.3736695014302699
"attacktype1_txt_Assassination, targtype1_txt_Government (General)",weaptype1_txt_Firearms,0.032924030359236287,0.3221073140661893,0.02232361536895058,0.6780341023069207,2.1049944310410553,1.0,0.011718544381703305,2.1054797753146706,0.5428108827461865,0.06709677419354837,0.5250488692770526,0.3736695014302699
targtype1_txt_Unknown,"region_txt_Middle East & North Africa, attacktype1_txt_Bombing/Explosion",0.032461706964021335,0.1701129940393305,0.011585604130088998,0.3569006442861987,2.0980210612464,1.0,0.006063445966811943,1.2904491329174872,0.5409195329645224,0.060661076049681566,0.22507600300434222,0.2125029945903622
"region_txt_Middle East & North Africa, attacktype1_txt_Bombing/Explosion",targtype1_txt_Unknown,0.1701129940393305,0.032461706964021335,0.011585604130088998,0.0681053448945257,2.0980210612464,1.0,0.006063445966811943,1.0382485699807669,0.6306405062800998,0.060661076049681566,0.03683951135273457,0.2125029945903622
targtype1_txt_Business,"attacktype1_txt_Bombing/Explosion, region_txt_South America",0.11375907447259358,0.04974929963509475,0.011871804327126825,0.10435918525327786,2.0977015961780405,1.0,0.006212370044978709,1.0609729756829207,0.5904576934856421,0.07829116910456971,0.05746892435565941,0.17149588867708698
"attacktype1_txt_Bombing/Explosion, region_txt_South America",targtype1_txt_Business,0.04974929963509475,0.11375907447259358,0.011871804327126825,0.2386325921008961,2.09770159617804,1.0,0.006212370044978709,1.164012165917208,0.5506839116861957,0.07829116910456971,0.14090244992239517,0.17149588867708698
"weaptype1_txt_Firearms, targtype1_txt_Private Citizens & Property",region_txt_Sub-Saharan Africa,0.07882613888414947,0.09659256650026693,0.01596666868474498,0.2025555090071219,2.0970092870092873,1.0,0.008352649622618495,1.1328781422452656,0.5678953914059308,0.10013461737599669,0.1172925289051059,0.1839273271531336
region_txt_Sub-Saharan Africa,"weaptype1_txt_Firearms, targtype1_txt_Private Citizens & Property",0.09659256650026693,0.07882613888414947,0.01596666868474498,0.1652991452991453,2.097009287009287,1.0,0.008352649622618495,1.1035976013777853,0.5790636328779478,0.10013461737599669,0.09387262281872395,0.1839273271531336
targtype1_txt_Private Citizens & Property,weaptype1_txt_Melee,0.23947801487140255,0.020116571541793485,0.01007204539575433,0.04205833007745168,2.0907305198638233,1.0,0.005254568776907077,1.0229051091779233,0.6859739652168273,0.0403652726310217,0.02239221309230871,0.2713711623027477
weaptype1_txt_Melee,targtype1_txt_Private Citizens & Property,0.020116571541793485,0.23947801487140255,0.01007204539575433,0.5006839945280438,2.090730519863823,1.0,0.005254568776907077,1.5231275921342597,0.532408515770188,0.0403652726310217,0.34345618504700254,0.2713711623027477
"attacktype1_txt_Assassination, region_txt_South Asia",weaptype1_txt_Firearms,0.023672058604994193,0.3221073140661893,0.015873103235713382,0.6705417344803535,2.081733960075694,1.0,0.008248160020041279,2.057598053776514,0.5322302059161276,0.04811397874576667,0.513996429883572,0.359910331391636
weaptype1_txt_Firearms,"attacktype1_txt_Assassination, region_txt_South Asia",0.3221073140661893,0.023672058604994193,0.015873103235713382,0.04927892830291846,2.0817339600756934,1.0,0.008248160020041279,1.0269341560424392,0.7665390585746332,0.04811397874576667,0.02622773415798838,0.359910331391636
targtype1_txt_Business,"region_txt_South America, weaptype1_txt_Explosives",0.11375907447259358,0.050074026781733824,0.011728704228607912,0.10310126276065606,2.0589768665911587,1.0,0.006032329286802008,1.0591228795149608,0.5803409342020709,0.07710956723114779,0.05582249298781735,0.16866428273227352
"region_txt_South America, weaptype1_txt_Explosives",targtype1_txt_Business,0.050074026781733824,0.11375907447259358,0.011728704228607912,0.23422730270389097,2.0589768665911583,1.0,0.006032329286802008,1.1573159093509895,0.5414336497255733,0.07710956723114779,0.13593169166680735,0.16866428273227352
