antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'attacktype1_txt_Unknown'}),"frozenset({'decade_2010s', 'weaptype1_txt_Unknown'})",0.049006771898338165,0.05093389430738828,0.031392971152007294,0.6405843506103661,12.576779359230054,1.0,0.028896865411791053,2.640580918789521,0.9679231784718374,0.45797267329565766,0.621295453252607,0.6284658539419405
"frozenset({'success_Success', 'attacktype1_txt_Unknown'})",frozenset({'weaptype1_txt_Unknown'}),0.039684991492220406,0.09310992443522564,0.039680087872858955,0.9998764364265414,10.738666608221035,1.0,0.03598502131380574,7339.461381545291,0.9443553012434939,0.4261414503133393,0.9998637502198029,0.7130201647057923
"frozenset({'attacktype1_txt_Unknown', 'decade_2010s'})",frozenset({'weaptype1_txt_Unknown'}),0.0314125856294531,0.09310992443522564,0.031392971152007294,0.999375585388698,10.733287471239866,1.0,0.02846814767773386,1452.3844560167022,0.93624167172477,0.3370893007582139,0.9993114770707869,0.6682679485822782
frozenset({'attacktype1_txt_Unknown'}),frozenset({'weaptype1_txt_Unknown'}),0.049006771898338165,0.09310992443522564,0.04896263932408511,0.9990994596758055,10.730321882828454,1.0,0.0443996224958165,1007.0510461327139,0.953535865397998,0.5256093067326421,0.9990070016769852,0.762478948291663
frozenset({'weaptype1_txt_Unknown'}),frozenset({'attacktype1_txt_Unknown'}),0.09310992443522564,0.049006771898338165,0.04896263932408511,0.5258584369075205,10.730321882828454,1.0,0.0443996224958165,2.005715807530196,0.9999074586639749,0.5256093067326421,0.5014248797134511,0.762478948291663
frozenset({'attacktype1_txt_Unknown'}),"frozenset({'success_Success', 'weaptype1_txt_Unknown'})",0.049006771898338165,0.08125297281923788,0.039680087872858955,0.809685811486892,9.964999228867434,1.0,0.035698141967844696,4.82752775480785,0.946009641654018,0.4380684278908618,0.7928546347550098,0.649019127831557
"frozenset({'success_Failed', 'attacktype1_txt_Bombing/Explosion'})","frozenset({'weaptype1_txt_Explosives', 'casualty_level_0_None', 'decade_2010s'})",0.058902275769745646,0.10419210419210419,0.0353698064541438,0.6004828504828505,5.763227982954547,1.0,0.02923265439999041,2.2422263897571257,0.8782149899649734,0.2769224862748109,0.5540147040601381,0.4699750472293771
"frozenset({'success_Failed', 'weaptype1_txt_Explosives'})","frozenset({'attacktype1_txt_Bombing/Explosion', 'casualty_level_0_None', 'decade_2010s'})",0.06985696142322648,0.09763106148648318,0.0353698064541438,0.5063175628246526,5.186029477870126,1.0,0.028549597158173894,1.8278327737897855,0.8677958346968818,0.26771332071410014,0.4529039995674093,0.43429891199997067
frozenset({'region_txt_Central America & Caribbean'}),"frozenset({'success_Success', 'decade_1980s'})",0.050889761733135225,0.1413713461906233,0.03582093943539727,0.7038928502601658,4.97903478482157,1.0,0.028626585311863878,2.8997228015729624,0.84200741709838,0.22897533147352916,0.6551394500682799,0.47863737206036383
"frozenset({'success_Success', 'region_txt_Central America & Caribbean'})",frozenset({'decade_1980s'}),0.04906561533067557,0.1527771648253576,0.03582093943539727,0.7300619628223067,4.77860656503774,1.0,0.028324833834765056,3.1385826318983616,0.8315336872209307,0.21576040405233776,0.6813848423690686,0.4822636171795447
