decade,region_txt,country_txt,attacktype1_txt,targtype1_txt,weaptype1_txt,casualty_level,support,total_killed,total_wounded,total_casualties,avg_casualties_per_event,cuboid_level
ALL,Sub-Saharan Africa,ALL,ALL,Business,ALL,0_None,449,0.0,0.0,0.0,0.0,3
2010s,ALL,ALL,ALL,Government (General),Incendiary,ALL,448,67.0,34.0,101.0,0.22544642857142858,3
ALL,Western Europe,ALL,Armed Assault,ALL,Incendiary,ALL,448,23.0,256.0,279.0,0.6227678571428571,3
ALL,ALL,India,Armed Assault,ALL,ALL,0_None,448,0.0,0.0,0.0,0.0,3
ALL,ALL,Libya,ALL,ALL,Firearms,1_Low_1_5,448,464.0,201.0,665.0,1.484375,3
2000s,ALL,Philippines,ALL,ALL,Explosives,ALL,447,622.0,2737.0,3359.0,7.514541387024608,3
ALL,ALL,Pakistan,ALL,Business,ALL,1_Low_1_5,447,415.0,640.0,1055.0,2.360178970917226,3
ALL,ALL,ALL,Armed Assault,Educational Institution,ALL,1_Low_1_5,447,460.0,261.0,721.0,1.6129753914988814,3
2000s,South Asia,ALL,ALL,Transportation,ALL,ALL,446,1249.0,4073.0,5322.0,11.932735426008968,3
2000s,ALL,Algeria,Armed Assault,ALL,ALL,ALL,446,1924.0,585.0,2509.0,5.625560538116592,3
ALL,ALL,Ukraine,Bombing/Explosion,Military,ALL,ALL,446,591.0,863.0,1454.0,3.2600896860986546,3
ALL,ALL,United States,Bombing/Explosion,Business,ALL,ALL,446,15.0,174.0,189.0,0.42376681614349776,3
1970s,Central America & Caribbean,El Salvador,ALL,ALL,ALL,ALL,445,328.0,134.0,462.0,1.0382022471910113,3
1980s,Southeast Asia,ALL,ALL,ALL,ALL,1_Low_1_5,445,743.0,209.0,952.0,2.1393258426966293,3
1980s,ALL,Colombia,ALL,Government (General),ALL,ALL,445,491.0,215.0,706.0,1.5865168539325842,3
1990s,ALL,Colombia,ALL,ALL,Unknown,ALL,445,702.0,322.0,1024.0,2.301123595505618,3
1990s,ALL,ALL,Unknown,Private Citizens & Property,ALL,ALL,445,3350.0,1520.0,4870.0,10.9438202247191,3
1970s,ALL,ALL,ALL,Business,Firearms,ALL,445,400.0,201.0,601.0,1.350561797752809,3
ALL,Western Europe,West Germany (FRG),ALL,ALL,ALL,0_None,445,0.0,0.0,0.0,0.0,3
ALL,ALL,Chile,Bombing/Explosion,Utilities,ALL,ALL,445,7.0,25.0,32.0,0.07191011235955057,3
ALL,ALL,Chile,ALL,Utilities,ALL,0_None,445,0.0,0.0,0.0,0.0,3
ALL,ALL,Pakistan,ALL,Private Citizens & Property,ALL,2_Medium_6_20,445,1545.0,3014.0,4559.0,10.24494382022472,3
2000s,ALL,Afghanistan,Armed Assault,ALL,ALL,ALL,444,1448.0,545.0,1993.0,4.488738738738738,3
1990s,ALL,ALL,ALL,ALL,Firearms,3_High_21_100,444,11218.0,5963.0,17181.0,38.695945945945944,3
ALL,Western Europe,Italy,ALL,Business,ALL,ALL,444,29.0,139.0,168.0,0.3783783783783784,3
ALL,Central America & Caribbean,Guatemala,ALL,ALL,Explosives,ALL,444,346.0,523.0,869.0,1.9572072072072073,3
ALL,South America,Peru,ALL,ALL,Unknown,ALL,444,1094.0,314.0,1408.0,3.171171171171171,3
ALL,South America,ALL,Assassination,Police,ALL,ALL,444,542.0,80.0,622.0,1.4009009009009008,3
ALL,South Asia,ALL,ALL,Religious Figures/Institutions,Firearms,ALL,444,1176.0,1047.0,2223.0,5.006756756756757,3
ALL,ALL,Philippines,Hostage Taking (Kidnapping),ALL,ALL,0_None,444,0.0,0.0,0.0,0.0,3
ALL,ALL,United States,ALL,Business,Explosives,ALL,444,17.0,174.0,191.0,0.43018018018018017,3
1980s,Middle East & North Africa,ALL,Armed Assault,ALL,ALL,ALL,443,650.0,523.0,1173.0,2.6478555304740405,3
ALL,ALL,Egypt,Bombing/Explosion,ALL,ALL,1_Low_1_5,443,402.0,764.0,1166.0,2.6320541760722347,3
ALL,ALL,ALL,Bombing/Explosion,Transportation,ALL,3_High_21_100,443,4299.0,13784.0,18083.0,40.81941309255079,3
1980s,North America,ALL,ALL,ALL,ALL,0_None,442,0.0,0.0,0.0,0.0,3
ALL,South Asia,ALL,Assassination,ALL,ALL,0_None,442,0.0,0.0,0.0,0.0,3
ALL,South Asia,ALL,ALL,Business,Incendiary,ALL,442,43.0,80.0,123.0,0.27828054298642535,3
ALL,ALL,El Salvador,ALL,Private Citizens & Property,Firearms,ALL,442,1710.0,235.0,1945.0,4.400452488687783,3
ALL,ALL,ALL,ALL,Government (Diplomatic),Firearms,0_None,442,0.0,0.0,0.0,0.0,3
ALL,ALL,Iraq,Bombing/Explosion,Transportation,ALL,ALL,441,1083.0,2983.0,4066.0,9.219954648526077,3
ALL,ALL,Pakistan,Bombing/Explosion,ALL,ALL,3_High_21_100,441,4856.0,13345.0,18201.0,41.27210884353742,3
ALL,ALL,Iraq,ALL,Transportation,Explosives,ALL,441,1083.0,2983.0,4066.0,9.219954648526077,3
ALL,ALL,Turkey,ALL,Police,ALL,1_Low_1_5,441,555.0,476.0,1031.0,2.3378684807256236,3
2010s,Eastern Europe,ALL,ALL,Private Citizens & Property,ALL,ALL,440,445.0,920.0,1365.0,3.102272727272727,3
2000s,ALL,Philippines,Bombing/Explosion,ALL,ALL,ALL,440,522.0,2606.0,3128.0,7.109090909090909,3
2000s,ALL,Afghanistan,ALL,Private Citizens & Property,ALL,ALL,440,1427.0,1584.0,3011.0,6.843181818181818,3
1990s,ALL,ALL,ALL,Private Citizens & Property,ALL,3_High_21_100,440,9555.0,8156.0,17711.0,40.252272727272725,3
ALL,ALL,Chile,ALL,Utilities,Explosives,ALL,440,7.0,25.0,32.0,0.07272727272727272,3
ALL,ALL,Chile,ALL,Business,ALL,0_None,440,0.0,0.0,0.0,0.0,3
ALL,ALL,Pakistan,ALL,Government (General),ALL,0_None,440,0.0,0.0,0.0,0.0,3
ALL,ALL,El Salvador,ALL,ALL,Firearms,2_Medium_6_20,440,3167.0,1583.0,4750.0,10.795454545454545,3
ALL,Central America & Caribbean,Guatemala,ALL,Military,ALL,ALL,439,2734.0,532.0,3266.0,7.439635535307517,3
ALL,Sub-Saharan Africa,ALL,Bombing/Explosion,ALL,ALL,3_High_21_100,439,6395.0,11576.0,17971.0,40.93621867881549,3
ALL,Central America & Caribbean,ALL,ALL,Government (General),ALL,1_Low_1_5,439,473.0,227.0,700.0,1.5945330296127562,3
1990s,South America,ALL,ALL,Military,ALL,ALL,438,2160.0,732.0,2892.0,6.602739726027397,3
1980s,ALL,ALL,ALL,ALL,Explosives,3_High_21_100,438,4625.0,14008.0,18633.0,42.54109589041096,3
ALL,South Asia,Sri Lanka,Assassination,ALL,ALL,ALL,438,982.0,662.0,1644.0,3.7534246575342465,3
ALL,ALL,Somalia,ALL,Private Citizens & Property,ALL,1_Low_1_5,438,626.0,277.0,903.0,2.0616438356164384,3
ALL,ALL,ALL,Armed Assault,ALL,Explosives,2_Medium_6_20,438,2636.0,2027.0,4663.0,10.646118721461187,3
ALL,ALL,ALL,ALL,Educational Institution,Explosives,1_Low_1_5,438,256.0,764.0,1020.0,2.328767123287671,3
2010s,ALL,Turkey,Armed Assault,ALL,ALL,ALL,437,654.0,704.0,1358.0,3.1075514874141876,3
1990s,ALL,Colombia,ALL,Government (General),ALL,ALL,437,616.0,163.0,779.0,1.7826086956521738,3
ALL,Middle East & North Africa,Turkey,Assassination,ALL,ALL,ALL,437,551.0,277.0,828.0,1.894736842105263,3
ALL,Western Europe,Italy,ALL,ALL,Incendiary,ALL,437,4.0,56.0,60.0,0.13729977116704806,3
ALL,Eastern Europe,ALL,Armed Assault,ALL,ALL,0_None,437,0.0,0.0,0.0,0.0,3
ALL,Eastern Europe,ALL,ALL,ALL,Firearms,0_None,437,0.0,0.0,0.0,0.0,3
ALL,ALL,Argentina,Bombing/Explosion,ALL,Explosives,ALL,437,199.0,624.0,823.0,1.8832951945080092,3
ALL,ALL,Pakistan,ALL,Police,ALL,0_None,437,0.0,0.0,0.0,0.0,3
